[2017.03.20_10.35.03]	start :20/03/2017 10:35:03
[2017.03.20_10.36.54]	Error: The conversion of a varchar data type to a datetime data type resulted in an out-of-range value.
The statement has been terminated.. Error in DAL.GetAllCases.
[2017.03.20_10.36.58]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.20_10.37.00]	end :20/03/2017 10:37:00
[2017.03.20_10.45.29]	start :20/03/2017 10:45:29
[2017.03.20_10.47.06]	start :20/03/2017 10:47:06
[2017.03.20_10.47.42]	Error: The conversion of a varchar data type to a datetime data type resulted in an out-of-range value.
The statement has been terminated.. Error in DAL.GetAllCases.
[2017.03.20_10.50.06]	start :20/03/2017 10:50:06
[2017.03.20_10.54.36]	start :20/03/2017 10:54:36
[2017.03.20_10.59.55]	start :20/03/2017 10:59:55
[2017.03.20_12.41.57]	start :20/03/2017 12:41:57
[2017.03.20_13.08.58]	start :20/03/2017 13:08:58
[2017.03.20_13.09.27]	end :20/03/2017 13:09:27
[2017.03.20_13.13.52]	start :20/03/2017 13:13:52
[2017.03.20_13.18.56]	start :20/03/2017 13:18:56
[2017.03.20_13.20.01]	start :20/03/2017 13:20:01
[2017.03.20_13.20.18]	end :20/03/2017 13:20:18
[2017.03.20_13.29.16]	start :20/03/2017 13:29:16
[2017.03.20_13.29.30]	end :20/03/2017 13:29:30
[2017.03.20_13.33.56]	start :20/03/2017 13:33:56
[2017.03.20_13.34.30]	start :20/03/2017 13:34:30
[2017.03.20_13.35.02]	Error: car 8888888 incident didnt fount. Error in StartInterface 
[2017.03.20_13.35.08]	end :20/03/2017 13:35:08
